"","title","link","address","lat","long","date_opened","date_closed","descr","closed_status"
"1","Other at George Sherman Union, 775 Commonwealth Avenue","https://311.boston.gov/reports/101002791879","At the time of this report, there are three cars sitting in the bike lane with their blinkers going. This report isn't a request for enforcement (which is why I am not labeling it ""illegal Parking""), is a request to fix the bike lane. As is, this bike lane is unusable because it is an open invitation to drivers to use it to pull over. This isn't a bike lane, it's a temporary parking lane, where anyone on a bicycle is expected to merge into fast (and impatient) traffic. I have been personally threatened by drivers (including an armored van driver!) for asking them not to park here. ""I'm just going to be a minute."" ""Why don't you just go around."" ""No one is going to ticket me here."" ""F*#k off, mind your own business."" Don't close this ticket and say ""area clear"". Fix this lane before another BU student is killed just trying to get around the Boston metro area. The longer you leave this, the more drivers will feel that they have every right to park here. I would like to be able to commute home without worrying whether I'll make it alive. Is avoiding flex posts here for plowing and delivery reasons worth my life?  
The user entered the George Sherman Union, 775 Commonwealth Avenue, Boston, MA 02215, USA to see more details visit: http://seeclickfix.com/issues/5350037",42.3506301,-71.1088092,2019-02-01 19:15:00,NA,"At the time of this report, there are three cars sitting in the bike lane with their blinkers going. This report isn't a request for enforcement (which is why I am not labeling it ""illegal Parking""), is a request to fix the bike lane. As is, this bike lane is unusable because it is an open invitation to drivers to use it to pull over. This isn't a bike lane, it's a temporary parking lane, where anyone on a bicycle is expected to merge into fast (and impatient) traffic. I have been personally threatened by drivers (including an armored van driver!) for asking them not to park here. ""I'm just going to be a minute."" ""Why don't you just go around."" ""No one is going to ticket me here."" ""F*#k off, mind your own business."" Don't close this ticket and say ""area clear"". Fix this lane before another BU student is killed just trying to get around the Boston metro area. The longer you leave this, the more drivers will feel that they have every right to park here. I would like to be able to commute home without worrying whether I'll make it alive. Is avoiding flex posts here for plowing and delivery reasons worth my life?  
The user entered the address: George Sherman Union, 775 Commonwealth Avenue, Boston, MA 02215, USA to see more details visit: http://seeclickfix.com/issues/5350037",NA
"2","Other at George Sherman Union, 775 Commonwealth Avenue","https://311.boston.gov/reports/101002791879","775 Commonwealth Ave, Boston",42.3506301,-71.1088092,2019-02-01 19:15:00,NA,"At the time of this report, there are three cars sitting in the bike lane with their blinkers going. This report isn't a request for enforcement (which is why I am not labeling it ""illegal Parking""), is a request to fix the bike lane. As is, this bike lane is unusable because it is an open invitation to drivers to use it to pull over. This isn't a bike lane, it's a temporary parking lane, where anyone on a bicycle is expected to merge into fast (and impatient) traffic. I have been personally threatened by drivers (including an armored van driver!) for asking them not to park here. ""I'm just going to be a minute."" ""Why don't you just go around."" ""No one is going to ticket me here."" ""F*#k off, mind your own business."" Don't close this ticket and say ""area clear"". Fix this lane before another BU student is killed just trying to get around the Boston metro area. The longer you leave this, the more drivers will feel that they have every right to park here. I would like to be able to commute home without worrying whether I'll make it alive. Is avoiding flex posts here for plowing and delivery reasons worth my life?  
The user entered the address: George Sherman Union, 775 Commonwealth Avenue, Boston, MA 02215, USA to see more details visit: http://seeclickfix.com/issues/5350037",NA
"3","Illegal Parking at Intersection Of Clearway St & Massachusetts Ave","https://311.boston.gov/reports/101002790653","Intersection Of Clearway St & Massachusetts Ave, Boston",42.3453346733398,-71.0868199635959,2019-01-30 16:55:00,2019-01-30 17:31:00,"Why can public works park in bike lane and not get ticketed.","Case Resolved. clear."
"4","Illegal Parking at 17 21 Poplar St, Roslindale","https://311.boston.gov/reports/101002787098","17 21 Poplar St, Roslindale",42.286471,-71.128755,2019-01-25 18:35:00,2019-01-26 21:15:00,"Two cars parked in the bike lane on Poplar St across from Adam's Park, Rozzie.","Case Resolved. clear."
"5","Other at 854 Beacon St, Apt 1","https://311.boston.gov/reports/101002783434","854 Beacon St, Apt 1, Boston",42.347088712307,-71.1038575228966,2019-01-22 20:38:00,NA,"Dedicated, protected bike lane covered in snow and ice forcing bikers back into regular traffic. Needs to be cleared on beacon from arundel street to park drive",NA
"6","Other at Intersection Of Massachusetts Ave & Chester Park, Roxbury","https://311.boston.gov/reports/101002781784","Intersection Of Massachusetts Ave & Chester Park, Roxbury",42.3380191980827,-71.0787182351493,2019-01-21 21:10:00,NA,"Bike lane not plowed clear of snow on either side of mass ave",NA
"7","Illegal Parking at 200 D St","https://311.boston.gov/reports/101002779764","Intersection Of Gold St & D St, South Boston",42.337856,-71.052147,2019-01-18 18:08:00,2019-01-18 21:35:00,"Parked in bike lane + sidewalk, told me ""I can park here""","Case Noted. area checked."
"8","Broken Sidewalk at Intersection Of Columbus Ave & Douglass Park, Roxbury","https://311.boston.gov/reports/101002776366","Intersection Of Columbus Ave & Douglass Park, Roxbury",42.338634,-71.084311,2019-01-14 11:55:00,2019-01-14 14:33:00,"Debris in bike lane","Case Resolved"
"9","Damaged Sign at 3841 Washington St Forest Hills / Woodbourne","https://311.boston.gov/reports/101002775614","3841 3843 Washington St, Roslindale",42.2971257,-71.1171141,2019-01-12 17:26:00,NA,"Missing ""no parking sign"" along side where monuments are. People park in bike path thinking it's legal. The white line along this stretch indicate the space is a bike lane. Cars parked or uber idling here are blocking the bike lane.",NA
"10","Overflowing Trash Can at No location specified","https://311.boston.gov/reports/101002773792","No location specified",42.3239254790675,-71.1156182355781,2019-01-09 17:05:00,2019-01-11 13:24:00,"SR Type: GROUND MAINTENANCE | Description of the problem: Hi, Is there any way the city could introduce sidewalks and bike lanes along Willow Pond Road adjacent to Olmsted Park? I've lived near Olmsted Park in Jamaica Plain for many years now and often walk/bike along Willow Pond Road coming to and from the park. I've always wished there was a well-lit sidewalk and bike lane along each side of Willow Pond Road to make walking/biking safer, as many cars speed down that windy road. There is currently no sidewalk and no bike lanes. It's surprising there are no sidewalks, as many young kids use the park for baseball/softball games throughout the year. It's also surprising there are no bike lanes, as many bikers use this road to pass from the bike path along Pond Ave to the bike path along Jamaicaway (and vice versa). If this is not the right department to contact, please let me know who I should contact instead. Thanks for your consideration. Best, Dustin | Park owner: BPRD","Case Resolved. Call transportation department they will help with your request thanks."
"11","Illegal Parking at Intersection Of Purchase St & Congress St","https://311.boston.gov/reports/101002762532","Intersection Of Purchase St & Congress St, Boston",42.3540833333333,-71.054025,2018-12-20 14:58:00,2018-12-20 15:31:00,"Trucks continue to park in the bike lane here m-f","Case Resolved. supervisor enforced area and vehicles in violation have been moved from bike lane and ticketed. Supervisor will routinely check area for bike lane violations. Thank You."
"12","Illegal Parking at Intersection Of Angell St & American Legion Hwy, Jamaica Plain","https://311.boston.gov/reports/101002758413","Intersection Of Angell St & American Legion Hwy, Jamaica Plain",42.2976419213836,-71.0896714072004,2018-12-14 12:59:00,2018-12-14 14:07:00,"On American Legion PKWY, BPS buses parked not only in bike lane but 1/2 in travel lane. Occurs daily around 4 pm ish. Just because they throw on their hazards, doesn't mean they can park anywhere they want.","Case Noted. Please contact State Police they have jurisdiction."
"13","Other at address unavailable","https://311.boston.gov/reports/101002758023","Bike lane approaching Sparhawk St on Market St (Northbound) is not properly marked or enforced, cars park in the lane between the fire hydrant and Sparhawk overnight very frequently. There is simply a white line, no paint or vertical delineation to indicate that this is a bike lane.  
The user entered the address unavailable to see more details visit: http://seeclickfix.com/issues/5206454",42.3515203091836,-71.1519600078464,2018-12-14 07:36:00,NA,"Bike lane approaching Sparhawk St on Market St (Northbound) is not properly marked or enforced, cars park in the lane between the fire hydrant and Sparhawk overnight very frequently. There is simply a white line, no paint or vertical delineation to indicate that this is a bike lane.  
The user entered the address: address unavailable to see more details visit: http://seeclickfix.com/issues/5206454",NA
"14","Other at address unavailable","https://311.boston.gov/reports/101002758023","Intersection Of Sparhawk St & Arlington St, Brighton",42.3515203091836,-71.1519600078464,2018-12-14 07:36:00,NA,"Bike lane approaching Sparhawk St on Market St (Northbound) is not properly marked or enforced, cars park in the lane between the fire hydrant and Sparhawk overnight very frequently. There is simply a white line, no paint or vertical delineation to indicate that this is a bike lane.  
The user entered the address: address unavailable to see more details visit: http://seeclickfix.com/issues/5206454",NA
"15","Illegal Parking at 73 Seaport Blvd","https://311.boston.gov/reports/101002745965","73 Seaport Blvd, Boston",42.352445259736,-71.0466668933543,2018-12-11 12:02:00,2018-12-11 12:19:00,"Peapod truck has been illegally parked in bike lane for long time. Please tow. Tickets don't do anything.","Case Resolved. Officer has been dispatched to the park lane violations."
"16","Illegal Parking at 55 57 Seaport Blvd","https://311.boston.gov/reports/101002745955","55 57 Seaport Blvd, Boston",42.352838216523,-71.0475714536351,2018-12-11 11:51:00,2018-12-11 12:19:00,"Trucks parked in bike lane on seaport Blvd","Case Resolved. Officer has been dispatched to the park lane violations."
"17","Illegal Parking at 73 Seaport Blvd","https://311.boston.gov/reports/101002745974","73 Seaport Blvd, Boston",42.3520916251962,-71.0466980686482,2018-12-11 12:13:00,2018-12-11 12:18:00,"Parked in bike lane","Case Resolved. Officer has been dispatched to the park lane violations."
"18","Illegal Parking at Intersection Of Columbus Ave & Douglass Park, Roxbury","https://311.boston.gov/reports/101002743621","Intersection Of Columbus Ave & Douglass Park, Roxbury",42.338763,-71.083916,2018-12-07 12:32:00,2018-12-07 13:01:00,"Parked in bike lane","Case Resolved. officer responded and enforced area. vehicles in violation were moved from area. officer will routinely check area for bike lane violations. Thank You."
"19","Illegal Parking at 1 5 Marina Park Dr","https://311.boston.gov/reports/101002742828","Intersection Of Marina Park Dr & Northern Ave, Boston",42.3527638401512,-71.0453220766396,2018-12-06 12:19:00,2018-12-06 13:21:00,"Illegal bike lane obstruction and double parking on Northern Ave. A daily occurrence.","Case Noted"
"20","Illegal Parking at 566 Columbus Ave, Roxbury","https://311.boston.gov/reports/101002741586","566 Columbus Ave, Roxbury",42.3407710728614,-71.0813560759935,2018-12-05 07:53:00,2018-12-05 09:30:00,"Every day I biked by the center section peoples are stopped waiting to drop the kids off the bus. Sometimes there's even an enforcement officer chatting with them. Please have them not park in the bike lane at all and have the enforcement officer help keep it clear. I'm okay waiting for the bus, of course","Case Noted. ok."
"21","Illegal Parking at 55 57 Seaport Blvd","https://311.boston.gov/reports/101002736927","55 57 Seaport Blvd, Boston",42.3529287398379,-71.0476983899602,2018-11-28 19:31:00,2018-11-29 00:07:00,"There are two state police motorcycles blocking the entire bike lane. They are parked in the green paint. Please monitor this area because people always park in the lane and it is making it dangerous for cyclists.","Case Resolved. clear."
"22","Illegal Parking at Intersection Of Marina Park Dr & Northern Ave","https://311.boston.gov/reports/101002731647","Intersection Of Marina Park Dr & Northern Ave, Boston",42.3527189012776,-71.0453205464469,2018-11-20 14:01:00,2018-11-20 14:25:00,"THREE CARS obstructing bike lane on Northern Ave!  Double parking illegally. This is out of control. It is constant throughout the day. They will be gone before officer can issue citation.","Case Resolved. officer responded and enforced area. vehicles in bike lane have been ticketed and moved from area. officer will routinely check are for bike lane infractions. Thank You."
"23","Illegal Parking at 165 S Huntington Ave, Jamaica Plain","https://311.boston.gov/reports/101002729616","165 S Huntington Ave, Jamaica Plain",42.3264546775366,-71.1115414977142,2018-11-17 12:00:00,NA,"Construction equipment for luxury condo development parked overnight in bike lane. I'm sure it's cheaper for developer than finding a legal space but can't park illegally, endangering residents lives. How many cyclists and pedestrians have to be killed for the police to care?",NA
"24","Damaged Sign at Intersection Of Park Dr & Beacon St","https://311.boston.gov/reports/101002726546","Intersection Of Park Dr & Beacon St, Boston",42.3465850962977,-71.1055569412218,2018-11-13 17:27:00,2018-11-13 21:59:00,"Bollard in bike lane.","Case Noted. On the to do list."
"25","Illegal Parking at 1 5 Marina Park Dr","https://311.boston.gov/reports/101002724226","Intersection Of Marina Park Dr & Northern Ave, Boston",42.3527246649603,-71.0452817958859,2018-11-09 15:05:00,2018-11-09 15:29:00,"More illegal double parking and obstruction of bike lane on Northern Ave.","Case Noted. area checked."
"26","Illegal Parking at Intersection Of Pearl St & Purchase St","https://311.boston.gov/reports/101002724106","Intersection Of Pearl St & Purchase St, Boston",42.3544420995039,-71.0534794662714,2018-11-09 13:00:00,2018-11-09 13:11:00,"Cars and trucks park in the bike lane here everyday","Case Noted. ENFORCEMENT IN AREA WILL CHECK."
"27","General Traffic Engineering Request at 716 Columbus Ave, Mission Hill","https://311.boston.gov/reports/101002723205","716 Columbus Ave, Mission Hill",42.3377099999191,-71.0851400001722,2018-11-08 11:19:00,NA,"Description: Constituent is requesting that the changes made to the portion of Columbus Ave near 716 Columbus Ave are confusing and create a safety hazard, states that having 2 different bike lanes, with cars parked on both sides of the road, makes the area dangerous. States that there are also issues with cars being allowed to park so close to the Columbus Parking Garage create blind spots. Requesting that the parking/roadway/bike lane markings on that portion of Columbus Ave be reexamined",NA
"28","Illegal Parking at Intersection Of Marina Park Dr & Northern Ave","https://311.boston.gov/reports/101002722585","Intersection Of Marina Park Dr & Northern Ave, Boston",42.3527850293082,-71.0453795553081,2018-11-07 15:33:00,2018-11-07 16:37:00,"Illegal parking on Northern Ave. (1) obstructing new bike lane and (2) illegal double parking. Please enforce.","Case Noted. area checked."
"29","Illegal Parking at 1 5 Marina Park Dr","https://311.boston.gov/reports/101002722435","1 Marina Park Dr, Boston",42.35307,-71.0451583333333,2018-11-07 13:14:00,2018-11-07 15:44:00,"Illegal bike lane obstruction on Northern Ave.","Case Noted. area checked."
